
,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Scoring,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,
57,2019,2019-11-10,9,10,24.111,DAL,,MIN,L 24-28,*,20,47,2.35,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
58,2019,2019-11-17,10,11,24.118,DAL,@,DET,W 35-27,*,16,45,2.81,1,3,2,28,14.00,1,66.7%,9.33,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,65,89%,0,0%,0,0%,
59,2019,2019-11-24,11,12,24.125,DAL,@,NWE,L 9-13,*,21,86,4.10,0,4,4,40,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,
60,2019,2019-11-28,12,13,24.129,DAL,,BUF,L 15-26,*,12,71,5.92,0,10,7,66,9.43,0,70.0%,6.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,67,88%,0,0%,0,0%,
61,2019,2019-12-05,13,14,24.136,DAL,@,CHI,L 24-31,*,19,81,4.26,2,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
62,2019,2019-12-15,14,15,24.146,DAL,,LAR,W 44-21,*,24,117,4.88,2,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,2,6%,
63,2019,2019-12-22,15,16,24.153,DAL,@,PHI,L 9-17,*,13,47,3.62,0,7,7,37,5.29,0,100.0%,5.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%,
64,2019,2019-12-29,16,17,24.160,DAL,,WAS,W 47-16,*,18,122,6.78,1,5,3,2,0.67,1,60.0%,0.40,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,51,67%,0,0%,0,0%,
65,2020,2020-09-13,1,1,25.053,DAL,@,LAR,L 17-20,*,22,96,4.36,1,4,3,31,10.33,1,75.0%,7.75,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,88%,0,0%,0,0%,
66,2020,2020-09-20,2,2,25.060,DAL,,ATL,W 40-39,*,22,89,4.05,1,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,2,1,0,1,0,0,76,93%,0,0%,0,0%,
67,2020,2020-09-27,3,3,25.067,DAL,@,SEA,L 31-38,*,14,34,2.43,1,11,6,24,4.00,0,54.5%,2.18,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,80,98%,0,0%,0,0%,
68,2020,2020-10-04,4,4,25.074,DAL,,CLE,L 38-49,*,12,54,4.50,0,8,8,71,8.88,0,100.0%,8.88,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,1,1,0,0,0,0,63,77%,0,0%,0,0%,
69,2020,2020-10-11,5,5,25.081,DAL,,NYG,W 37-34,*,19,91,4.79,2,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%,
70,2020,2020-10-19,6,6,25.089,DAL,,ARI,L 10-38,*,12,49,4.08,0,10,8,31,3.88,0,80.0%,3.10,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,54,61%,0,0%,0,0%,
71,2020,2020-10-25,7,7,25.095,DAL,@,WAS,L 3-25,*,12,45,3.75,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,38,67%,0,0%,0,0%,
72,2020,2020-11-01,8,8,25.102,DAL,@,PHI,L 9-23,*,19,63,3.32,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,78%,0,0%,0,0%,
73,2020,2020-11-08,9,9,25.109,DAL,,PIT,L 19-24,*,18,51,2.83,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,65%,0,0%,0,0%,
74,2020,2020-11-22,10,11,25.123,DAL,@,MIN,W 31-28,*,21,103,4.90,0,2,2,11,5.50,1,100.0%,5.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,70%,0,0%,0,0%,
75,2020,2020-11-26,11,12,25.127,DAL,,WAS,L 16-41,*,10,32,3.20,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,39,66%,0,0%,0,0%,
76,2020,2020-12-08,12,13,25.139,DAL,@,BAL,L 17-34,*,18,77,4.28,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,63%,0,0%,0,0%,
77,2020,2020-12-13,13,14,25.144,DAL,@,CIN,W 30-7,*,12,48,4.00,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,63%,0,0%,0,0%,
78,2020,2020-12-20,14,15,,DAL,,SFO,W 41-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,2020,2020-12-27,15,16,25.158,DAL,,PHI,W 37-17,*,19,105,5.53,0,4,4,34,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,53%,0,0%,0,0%,
80,2020,2021-01-03,16,17,25.165,DAL,@,NYG,L 19-23,*,14,42,3.00,1,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,58%,0,0%,0,0%,
81,2021,2021-09-09,1,1,26.049,DAL,@,TAM,L 29-31,*,11,33,3.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,83%,0,0%,0,0%,
82,2021,2021-09-19,2,2,26.059,DAL,@,LAC,W 20-17,*,16,71,4.44,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,71%,0,0%,0,0%,
83,2021,2021-09-27,3,3,26.067,DAL,,PHI,W 41-21,*,17,95,5.59,2,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,53,70%,0,0%,0,0%,
84,2021,2021-10-03,4,4,26.073,DAL,,CAR,W 36-28,*,20,143,7.15,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,75%,0,0%,0,0%,
85,2021,2021-10-10,5,5,26.080,DAL,,NYG,W 44-20,*,21,110,5.24,1,3,2,2,1.00,1,66.7%,0.67,0,0,,0,0,0,,0,0,,,,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,47,60%,0,0%,0,0%,
86,2021,2021-10-17,6,6,26.087,DAL,@,NWE,W 35-29,*,17,69,4.06,0,9,7,50,7.14,0,77.8%,5.56,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,71%,0,0%,0,0%,
87,2021,2021-10-31,7,8,26.101,DAL,@,MIN,W 20-16,*,16,50,3.13,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,75%,0,0%,0,0%,
88,2021,2021-11-07,8,9,26.108,DAL,,DEN,L 16-30,*,10,51,5.10,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,33,53%,0,0%,0,0%,
89,2021,2021-11-14,9,10,26.115,DAL,,ATL,W 43-3,*,14,41,2.93,2,3,3,15,5.00,0,100.0%,5.00,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,1,2,14,0.0,0,0,0,0,0,1,1,0,0,0,0,38,49%,0,0%,0,0%,
90,2021,2021-11-21,10,11,26.122,DAL,@,KAN,L 9-19,*,9,32,3.56,0,6,6,36,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,69%,0,0%,0,0%,
91,2021,2021-11-25,11,12,26.126,DAL,,LVR,L 33-36,*,9,25,2.78,1,8,6,24,4.00,0,75.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,
92,2021,2021-12-02,12,13,26.133,DAL,@,NOR,W 27-17,*,13,45,3.46,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,
93,2021,2021-12-12,13,14,26.143,DAL,@,WAS,W 27-20,*,12,45,3.75,0,6,1,15,15.00,0,16.7%,2.50,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,1,0,0,54,64%,0,0%,0,0%,
94,2021,2021-12-19,14,15,26.150,DAL,@,NYG,W 21-6,*,16,52,3.25,1,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,62%,0,0%,0,0%,
95,2021,2021-12-26,15,16,26.157,DAL,,WAS,W 56-14,*,9,37,4.11,1,1,1,5,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,1,0,0,42,58%,0,0%,0,0%,
96,2021,2022-01-02,16,17,26.164,DAL,,ARI,L 22-25,*,9,16,1.78,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,70%,0,0%,0,0%,
97,2021,2022-01-08,17,18,26.170,DAL,@,PHI,W 51-26,*,18,87,4.83,0,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,60%,0,0%,0,0%,
98,2022,2022-09-11,1,1,27.051,DAL,,TAM,L 3-19,*,10,52,5.20,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,58%,0,0%,0,0%,
99,2022,2022-09-18,2,2,27.058,DAL,,CIN,W 20-17,*,15,53,3.53,0,2,1,-4,-4.00,0,50.0%,-2.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,67%,0,0%,0,0%,
100,2022,2022-09-26,3,3,27.066,DAL,@,NYG,W 23-16,*,15,73,4.87,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,64%,0,0%,0,0%,
101,2022,2022-10-02,4,4,27.072,DAL,,WAS,W 25-10,*,19,49,2.58,0,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,64%,0,0%,0,0%,
102,2022,2022-10-09,5,5,27.079,DAL,@,LAR,W 22-10,*,22,78,3.55,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,65%,0,0%,0,0%,
103,2022,2022-10-16,6,6,27.086,DAL,@,PHI,L 17-26,*,13,81,6.23,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,
104,2022,2022-10-23,7,7,27.093,DAL,,DET,W 24-6,*,15,57,3.80,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,31,49%,0,0%,0,0%,
105,2022,2022-10-30,8,8,,DAL,,CHI,W 49-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
106,2022,2022-11-13,9,10,,DAL,@,GNB,L 28-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
107,2022,2022-11-20,10,11,27.121,DAL,@,MIN,W 40-3,*,15,42,2.80,2,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,21,29%,0,0%,0,0%,
108,2022,2022-11-24,11,12,27.125,DAL,,NYG,W 28-20,*,16,92,5.75,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,51%,0,0%,0,0%,
109,2022,2022-12-04,12,13,27.135,DAL,,IND,W 54-19,,17,77,4.53,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,56%,0,0%,0,0%,
110,2022,2022-12-11,13,14,27.142,DAL,,HOU,W 27-23,*,15,62,4.13,1,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,
111,2022,2022-12-18,14,15,27.149,DAL,@,JAX,L 34-40,*,16,58,3.63,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,51%,0,0%,0,0%,
112,2022,2022-12-24,15,16,27.155,DAL,,PHI,W 40-34,*,16,55,3.44,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,47%,0,0%,0,0%,
113,2022,2022-12-29,16,17,27.160,DAL,@,TEN,W 27-13,*,19,37,1.95,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,66%,0,0%,0,0%,
114,2022,2023-01-08,17,18,27.170,DAL,@,WAS,L 6-26,*,8,10,1.25,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,
,,103 Games,,,,,,,64-39-0,,1881,8262,4.39,68,403,305,2336,7.66,12,75.7%,5.80,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,4,80,488,0.0,2,0,2,0,0,22,11,0,9,-7,0,,,,,,,
